ID,Fecha Registro,Tipo Registro,Estado Negocio,Estado Renovación,Estado Prospecto,Estado Traspaso,Estado Inclusión,Tipo Materia,Seguro,Cot Aceptada,Póliza,Modifica Materia?,Comisión?,Contratante,Pagador,Cliente,Producto,Ejecutivo,Moneda,UF Prima Afecta,UF Prima Exenta,CLP Prima Afecta,CLP Prima Exenta,USD Prima Afecta,USD Prima Exenta,% Comisión Afecta,% Comisión Exenta,Forma de Pago,N° Cuotas,Valor Cuota,Tipo Inspección,N° Inspección,I Vigencia,Condiciones,Archivos,Comentarios,Fin Gestión,Traspaso Info 1,Traspaso Info 2
Ren0172,8/6/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0243,FALSE,TRUE,rut0107,rut0107,Cli0073,,,UF,,,,,,,7.78%,0.00%,PAT,,,,,,Portal ANS,,,18/6/2025,,
Pol03843,8/6/2025,Renovación,,Cambio Cía,,,,Individual,Seg0028,,Pol0243,FALSE,TRUE,rut0107,rut0107,Cli0073,,,UF,,,,,,,13.00%,0.00%,PAT,,,No Aplica,,,,,,18/6/2025,,
Ren0173,10/6/2025,Renovación,,Renovado,,,,Individual,Seg0023,,Pol0246,FALSE,TRUE,rut0065,rut0065,Cli0046,,,UF,,,,,,,13.04%,0.00%,PAT,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/EcLFBgrGmopDjKYjM_BfvkcBCSBvRFTbWOTkl7a5prQdvg?e=KWYdlW,,,20/6/2025,,
Ren0174,10/6/2025,Renovación,,Renovado,,,,Individual,Seg0035,,Pol0247,FALSE,TRUE,rut0065,rut0065,Cli0046,,,UF,,,,,,,10.50%,0.00%,PAT,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/ESn6YN2RvItFov-iZWZUJicBI4coPGdsWrJcZ9dU6VyD6Q?e=bWEDYQ,,,20/6/2025,,
Ren0175,10/6/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0248,FALSE,TRUE,rut0065,rut0065,Cli0046,,,UF,,,,,,,10.50%,0.00%,PAT,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/ESn6YN2RvItFov-iZWZUJicBI4coPGdsWrJcZ9dU6VyD6Q?e=bWEDYQ,,,20/6/2025,,
Ren0176,13/6/2025,Renovación,,Renovado,,,,Individual,Seg0001,,Pol0249,FALSE,TRUE,rut0057,rut0057,Cli0040,,,UF,,,,,,,26.00%,0.00%,Directa,,,,,,https://segurosaegis.sharepoint.com/:b:/s/SegurosAegis1/ETd-ITT1LoJOrppYVRRe2mYBYT8tsfQy-ilbgmwVgm88BA?e=AVU1Rx,,,23/6/2025,,
Neg0156,18/6/2025,Negocio,Aceptado,,,,,Individual,Seg0001,Cot0183,,FALSE,TRUE,rut0018,rut0018,Cli0016,,,CLP,,,,,,,20.00%,20.00%,Directa,,,No Aplica,,,,,,28/6/2025,,
Neg0157,18/6/2025,Negocio,Nulo,,,,,Individual,,Cot0184,,FALSE,TRUE,rut0173,rut0173,Cli0117,,,UF,,,,,,,,,PAT,,,Autoinspección,,,,,,28/6/2025,,
Pol0241,18/6/2025,Negocio,Aceptado,,,,,Individual,Seg0019,,,FALSE,TRUE,rut0018,rut0018,Cli0016,,,CLP,,,,,,,10.00%,0.00%,Directa,,,No Aplica,,,,,,28/6/2025,,
Ren0177,21/6/2025,Renovación,,Renovado,,,,Individual,Seg0014,,Pol0251,FALSE,TRUE,rut0140,rut0140,Cli0099,,,UF,,,,,,,21.00%,10.00%,PAC,,,,,,Portal,,,1/7/2025,,
Neg0158,26/6/2025,Negocio,Aceptado,,,,,Individual,Seg0001,Cot0186,,FALSE,TRUE,rut0018,rut0018,Cli0016,,,CLP,,,,,,,20.00%,20.00%,Directa,,,No Aplica,,,,,,6/7/2025,,
Pol0245,26/6/2025,Negocio,Aceptado,,,,,Individual,Seg0019,,,FALSE,TRUE,rut0018,rut0018,Cli0016,,,CLP,,,,,,,10.00%,0.00%,Directa,,,No Aplica,,,,,,6/7/2025,,
Neg0159,1/7/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0189,,FALSE,TRUE,rut0030,rut0030,Cli0025,,,UF,,,,,,,17.00%,0.00%,PAT,,,Autoinspección,1257530,,,,,11/7/2025,,
Neg0160,3/7/2025,Prospecto,,,Perdido,,,Individual,,,,FALSE,,rut0182,rut0182,Cli0112,,,UF,,,,,,,,,,,,,,,,,,13/7/2025,,
Ren0178,3/7/2025,Renovación,,Renovado,,,,Individual,Seg0014,,Pol0252,FALSE,TRUE,rut0146,rut0146,Cli0102,,,UF,,,,,,,9.43%,9.43%,Directa,,,,,,,,,13/7/2025,,
Neg0161,4/7/2025,Negocio,Aceptado,,,,,Individual,Seg0028,Cot0193,,FALSE,TRUE,rut0173,rut0173,Cli0117,,,UF,,,,,,,14.00%,0.00%,PAT,,,Autoinspección,1258612,,,,,14/7/2025,,
Neg0162,30/1/2026,Prospecto,,,Perdido,,,Individual,,,,FALSE,,rut0092,rut0092,Cli0065,,,UF,,,,,,,,,,,,,,,,,,9/2/2026,,
Ren0179,9/7/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0253,FALSE,TRUE,rut0017,rut0017,Cli0015,,,UF,,,,,,,15.00%,0.00%,PAT,,,,,,,,,19/7/2025,,
Ren0180,11/7/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0254,FALSE,TRUE,rut0159,rut0159,Cli0111,,,UF,,,,,,,17.00%,0.00%,PAT,,,,,,Portal,,,21/7/2025,,
Ren0181,11/7/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0255,FALSE,TRUE,rut0159,rut0159,Cli0111,,,UF,,,,,,,17.00%,0.00%,PAT,,,,,,Portal,,,21/7/2025,,
Ren0182,11/7/2025,Renovación,,Renovado,,,,Individual,Seg0028,,Pol0256,FALSE,TRUE,rut0159,rut0159,Cli0111,,,UF,,,,,,,17.00%,0.00%,PAT,,,,,,Portal,,,21/7/2025,,
Ren0183,28/7/2025,Renovación,,Renovado,,,,Individual,Seg0026,,Pol0258,FALSE,TRUE,rut0065,rut0065,Cli0046,,,UF,,,,,,,15.00%,0.00%,Directa,,,,,,Condiciones,,,7/8/2025,,
