ID,Categoria,Entidad,Compañía,Póliza,Partner,Gestor,Titulo,Descripcion,Tipo,Obligación,FechaInicio,FechaFin,FechaVencimiento,Prioridad,DiasAnticipacionAviso,Activo,Completado,FechaCompletado,FechaCreacion,FechaActualizacion
fdfd285f,Cat0010,Prv0001,,,,,Impuestos 01/04/26,Declaración de Impuestos a la Renta,Obligación,bb67619e,1/4/2026,,1/4/2026,Alta,30,TRUE,FALSE,,14/5/2026 8:00:07,14/5/2026 8:00:07
b0aa91a3,Cat0010,Prv0001,,,,,IVA 20/05/26,Declarar y pagar IVA mensual,Obligación,25263faa,20/5/2026,,20/5/2026,Alta,15,TRUE,FALSE,,14/5/2026 8:00:07,14/5/2026 8:00:07
b0e3fff2,Cat0006,,,,,,Revisar Prospectos 14/05/26,,Obligación,7075efec,14/5/2026,,14/5/2026,Baja,0,TRUE,FALSE,,14/5/2026 8:00:07,14/5/2026 8:00:07
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,
